id,name,neighborhood,bedrooms,nightly_rate,days_occupied,availability_30,home_price,rpp,noi
5968862,Charming Craftsman in Ballard,Ballard/Greenlake,2,200,30,0,615107,6000,2174.31
260613,Modern & New MIL Apt. in N. Ballard,Ballard/Greenlake,1,135,10,20,463837,1350,-1217.41
6897639,Modern Luxury home in Ballard,Ballard/Greenlake,4,400,30,0,958543,12000,5773.3
1023693,Cozy Hip Vintage MIL Apt in Ballard,Ballard/Greenlake,1,115,6,24,463837,690,-1811.41
4438160,Bright Ballard Home,Ballard/Greenlake,2,150,30,0,615107,4500,824.31
7870538,Modern Townhouse + Studio w/ Loft,Ballard/Greenlake,3,225,11,19,760000,2475,-1758.02
6375415,Beautiful Townhouse in Ballard,Ballard/Greenlake,3,375,4,26,760000,1500,-2635.52
4429898,Dog Friendly Mother n law n Ballard,Ballard/Greenlake,2,89,30,0,615107,2670,-822.69
1623894,Ballard Backyard Cottage,Ballard/Greenlake,1,115,30,0,463837,3450,672.59
25002,"Beautiful, Quiet, Friendly Ballard",Ballard/Greenlake,1,75,21,9,463837,1575,-1014.91
2352218,Meadowbrook Retreat in Seattle,North Seattle,1,80,0,30,488249,0,-2560.43
1187735,The Happy House-Seattle Urban Oasis,North Seattle,4,250,3,27,1008992,750,-4616.26
9717757,Urban AsianOasis MidCentury ModHome,North Seattle,2,189,1,29,647482,189,-3225.37
4701146,"One Bedroom Apartment, Two Beds",North Seattle,1,93,0,30,488249,0,-2560.43
6813623,Peaceful garden Home,North Seattle,3,240,30,0,800000,7200,2284.71
9233533,Welcoming & Refined Garden Apt.,North Seattle,1,95,5,25,488249,475,-2132.93
4180905,1 Bdrm Modern Apt w/Great Location!,Queen Anne/Magnolia,1,125,30,0,546229,3750,510.52
8578023,Classic Queen Anne Condo,Queen Anne/Magnolia,1,100,19,11,546229,1900,-1154.48
9939038,BRAND NEW TOP FLOOR CITY CENTER,Queen Anne/Magnolia,1,99,9,21,546229,891,-2062.58
7603457,Walking Distance to Space Needle,Queen Anne/Magnolia,1,105,2,28,546229,210,-2675.48
5639238,1 BR Apt Steps to Space Needle,Queen Anne/Magnolia,1,110,30,0,546229,3300,105.52
5362889,2 BR 1 Block To Key Arena & Needle!,Queen Anne/Magnolia,2,175,14,16,724370,2450,-1593.68
7203408,Bright Apartment Near Space Needle,Queen Anne/Magnolia,1,120,30,0,546229,3600,375.52
7885859,"Cozy 2BR/2BA, Space Needle View",Queen Anne/Magnolia,2,275,30,0,724370,8250,3626.32
10141859,The Heart of It All: Queen Anne Apt,Queen Anne/Magnolia,1,65,0,30,546229,0,-2864.48
544433,"8, Sparkling Seattle Center ",Queen Anne/Magnolia,1,95,12,18,546229,1140,-1838.48
6276224,Next door to the Seattle Center!,Queen Anne/Magnolia,1,135,30,0,546229,4050,780.52
5252515,Modern 2 Bd 2 Bath -Lower QueenAnne,Queen Anne/Magnolia,2,200,30,0,724370,6000,1601.32
9171373,Sweet flat in the heart of Seattle,Queen Anne/Magnolia,1,145,30,0,546229,4350,1050.52
8423118,Beautiful 760 sq foot AVA apartment,Queen Anne/Magnolia,1,96,22,8,546229,2112,-963.68
7932696,Rustic Refuge. Clean apartment,Queen Anne/Magnolia,1,110,0,30,546229,0,-2864.48
3215404,Great Downtown View from Queen Anne,Queen Anne/Magnolia,1,119,30,0,546229,3570,348.52
9522082,The Victorian by the Space Needle,Queen Anne/Magnolia,1,119,0,30,546229,0,-2864.48
